,the_geom,NAME,BIN,CNSTRCT_YR,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE,GLOBALID,BUILDING_TYPE
173933,"MULTIPOLYGON (((-73.98291338470216 40.76185914738928, -73.98291390716946 40.76185842976472, -73.9829865595025 40.76188898202519, -73.98342735615448 40.76207434847515, -73.98342512168686 40.76207772774671, -73.98327706578186 40.76230164918481, -73.98311868113926 40.76254118906067, -73.98310436422899 40.762562841389794, -73.98289954256344 40.76247670944653, -73.98256615813283 40.76233651218405, -73.98270664307509 40.76214337516751, -73.98289970339529 40.76187795599639, -73.98291338470216 40.76185914738928)))",Sheraton City Squire Inn,1024818,1963.0,08/22/2017 12:00:00 AM,Constructed,42399,213.62,2100.0,61.0,0,0,1010230029,1010230029,Photogramm,{8B5946B4-C270-409E-89D3-24145862A62A},Building
174097,"MULTIPOLYGON (((-73.98010884529121 40.74953528117397, -73.97990678109633 40.749450478765496, -73.97990917041007 40.749447183330076, -73.97995154071154 40.74938873796346, -73.98020241068868 40.74949392444372, -73.98027814671848 40.749525679374095, -73.98023334348446 40.74958748062823, -73.98010884529121 40.74953528117397)))",Scandinavian House Foundation,1017208,1999.0,08/22/2017 12:00:00 AM,Constructed,1106533,104.0,2100.0,75.0,0,0,1008670037,1008670037,Other (Man,{16A841B0-81ED-46AB-9C4F-5BBDC9394366},Building
176483,"MULTIPOLYGON (((-73.99311634757774 40.753629979811556, -73.99314480955863 40.753590896868616, -73.99325361071567 40.75344149321826, -73.99328982571366 40.75345674449413, -73.9932973189693 40.75344645485376, -73.99330532266853 40.7534354646493, -73.99344008937315 40.75349221865875, -73.9934315030002 40.753504009388706, -73.99331181693442 40.75366836186592, -73.99328733082969 40.75370198621718, -73.99311634757774 40.753629979811556)))",Consolidated Edison of N*,1080495,1928.0,08/22/2017 12:00:00 AM,Constructed,132989,92.140093,2100.0,34.0,0,0,1007590049,1007590049,Photogramm,{7F9473B0-66BA-41D1-9C22-B17947BD981B},Building
177277,"MULTIPOLYGON (((-73.82436827211995 40.87928847996513, -73.8244785446812 40.87910897229488, -73.82445303253027 40.879057620037365, -73.82433738069007 40.879016691542766, -73.82421289143083 40.878972635580986, -73.82427043879504 40.87887895621693, -73.8243869698415 40.87892019678654, -73.82446668454013 40.87894840700478, -73.82454708513094 40.87892533357023, -73.82463921101694 40.878775362097045, -73.82476825765059 40.87882103099254, -73.8246618599822 40.87899423240751, -73.82469084542717 40.87905257588755, -73.8249182928351 40.879133067362865, -73.82486069254551 40.879226834311616, -73.8246623155795 40.87915663085416, -73.82459462486887 40.87917650623954, -73.82449770241837 40.87933428391433, -73.82436827211995 40.87928847996513)))",14,2096809,1969.0,08/22/2017 12:00:00 AM,Constructed,561326,290.005,2100.0,14.0,0,0,2051410120,2051410120,Photogramm,{F6FA0552-E006-472F-BC4C-4A91A9C0F9D9},Building
177343,"MULTIPOLYGON (((-73.88117700698879 40.85119680711982, -73.8814036639411 40.850899945420174, -73.8814924925074 40.85078360214186, -73.88163629001961 40.85084690580467, -73.88154914478667 40.850961043813925, -73.88159392379303 40.850980756536494, -73.88170642807096 40.850833402824655, -73.88171295490436 40.85083627578444, -73.88182882524205 40.85088728406052, -73.88174312214434 40.8509995344596, -73.8818694845868 40.85105516216781, -73.88165064832279 40.851341784293794, -73.8816143436286 40.85138933355806, -73.88132373554465 40.85126140098949, -73.88117700698879 40.85119680711982)))",Admin South,2116700,1905.0,08/22/2017 12:00:00 AM,Constructed,929698,20.0,2100.0,76.0,0,0,2031200020,2031200020,Other (Man,{770AC3A5-447C-4CBB-BB5B-6778A5E9595B},Building
177967,"MULTIPOLYGON (((-73.82251884673813 40.862023145829276, -73.82239041368383 40.86206517765386, -73.82237071386511 40.862030480200985, -73.8223817376431 40.86202687269293, -73.82236370122823 40.86199510619803, -73.8223573994646 40.86198400784187, -73.82234858258194 40.86198689384992, -73.82232846370977 40.861951460042384, -73.8224246480044 40.86191998104701, -73.8224534111533 40.861910567447474, -73.82246575261591 40.8619323035947, -73.82248577843617 40.861925749111116, -73.82252414517917 40.861993320691745, -73.82250539551852 40.861999456615585, -73.82251884673813 40.862023145829276)))",Earhart Lane Town Houses,2123547,1969.0,08/22/2017 12:00:00 AM,Constructed,1255143,25.81172351,2100.0,18.0,0,0,2051350051,2051350051,Photogramm,{CEC45E99-2E3D-404A-8DF2-8F7D0820F0CF},Building
178208,"MULTIPOLYGON (((-73.98858256031161 40.75110437753589, -73.98843876587088 40.75130386395379, -73.98867126240437 40.75140078598129, -73.9886223545451 40.75146863607302, -73.9884669686988 40.75140385894506, -73.98847625568949 40.75139097543765, -73.98841468896626 40.751365309349126, -73.98837061296645 40.75134693548978, -73.98827000374186 40.751304994135936, -73.98823442568101 40.75129016277878, -73.98819539552244 40.75134430890108, -73.98807877369842 40.75150609706942, -73.9879616790046 40.75145728288077, -73.98783009894034 40.751402429151895, -73.98788131196879 40.75113226569811, -73.98792633400231 40.75089476471099, -73.98793216781952 40.75086399143502, -73.98795693539641 40.75085457563635, -73.98797193449059 40.75084887429995, -73.9880045450747 40.750862469035674, -73.98827006200564 40.75097410597692, -73.9883072348003 40.75098961106407, -73.98858256031161 40.75110437753589)))",Johnson Building,1015226,1915.0,08/22/2017 12:00:00 AM,Constructed,781398,149.25653915,2100.0,48.0,0,0,1008110021,1008110021,Photogramm,{4366CEAC-97B3-428C-B51A-AA1563F88194},Building
183352,"MULTIPOLYGON (((-73.81725832597103 40.73825432932452, -73.81717964994586 40.73824355593072, -73.81719332150193 40.73818577213175, -73.817193643712 40.738184408371424, -73.8171915584671 40.738184123201926, -73.81710609779356 40.73817242407001, -73.81695519462014 40.738151767067954, -73.81682701971948 40.73813422126033, -73.81662359756221 40.73810637345685, -73.81662384670871 40.738105321158045, -73.81662446598239 40.73810270526362, -73.81662507688453 40.73810011997321, -73.81662570095563 40.73809748157368, -73.81662635736346 40.73809470814922, -73.8166312612616 40.73807398622977, -73.81665686239246 40.737965786652666, -73.81663197685324 40.73796238002664, -73.81666963156454 40.73780325421269, -73.81669451349707 40.73780665992457, -73.81672831225951 40.737663812764865, -73.81676383092447 40.73766867530353, -73.81684139259275 40.737679293224, -73.8168359908643 40.73762231660015, -73.81696170906216 40.73761542046887, -73.81696612029396 40.73766194059713, -73.81690338844186 40.737665381680586, -73.81690553995476 40.73768807433878, -73.81701891268324 40.737703593810274, -73.81728992624934 40.73774069284856, -73.81728962681127 40.737741956688836, -73.81753224388356 40.7377751676267, -73.81757055796771 40.73778041255942, -73.81771516809964 40.73780020781509, -73.81776073201354 40.73780644481435, -73.81776997947478 40.73780771025529, -73.81776736361678 40.73781876707382, -73.81774537553079 40.73791170447714, -73.81773394070954 40.73796003113072, -73.81772150214722 40.73801260569827, -73.81770860723073 40.738067106631924, -73.81770332396722 40.738089439007624, -73.81767887911849 40.73819275898182, -73.81765329393437 40.73830089757078, -73.81765146855625 40.73830861294666, -73.81752846723977 40.73829177580834, -73.81743557190039 40.73827906017283, -73.8174377494559 40.73826985321444, -73.81736774336208 40.73826027065864, -73.81736567241028 40.738269023027506, -73.81728406492256 40.73825785243408, -73.81725832597103 40.73825432932452)))",Music Building,4467563,1907.0,08/22/2017 12:00:00 AM,Constructed,348564,66.78,2100.0,71.0,0,0,4065170001,4065170001,Photogramm,{2B66CB3B-16A4-4083-BFDD-203453E5A371},Building
183531,"MULTIPOLYGON (((-73.99088413692589 40.75321769852866, -73.9907668418504 40.75316838740772, -73.99058714659091 40.75309284295949, -73.99056898739637 40.75308520788843, -73.99075808524044 40.75282508966322, -73.99112081069549 40.752977580995875, -73.99093171265085 40.753237699810725, -73.99088413692589 40.75321769852866)))",Aronson Bldg,1014441,1921.0,08/22/2017 12:00:00 AM,Constructed,126531,182.210282,2100.0,38.0,0,0,1007860023,1007860023,Photogramm,{FB17BA3A-65C2-46BA-9853-0F2EBBF1797D},Building
185084,"MULTIPOLYGON (((-73.99021334538271 40.754518375917065, -73.99016309168776 40.754497216964005, -73.9903342736651 40.754262113095926, -73.9904974048803 40.75433080011218, -73.99060461670727 40.75437593953608, -73.99051464859735 40.75449950491643, -73.99043343539145 40.75461104470252, -73.99021334538271 40.754518375917065)))",Nelson Bldg,1014476,1924.0,08/22/2017 12:00:00 AM,Constructed,398805,214.000351,2100.0,41.0,0,0,1007880019,1007880019,Photogramm,{48DC6C80-17D3-46A5-865E-DED22727AFB3},Building
185174,"MULTIPOLYGON (((-73.88592720057449 40.8629397694219, -73.88586665788152 40.86299836029034, -73.88585867990419 40.86299360951557, -73.88583896780483 40.86298186833041, -73.88585492030164 40.862966430797414, -73.8858715678258 40.862950319482394, -73.88585146708546 40.86293834828981, -73.88573749825571 40.86287047087906, -73.88545741157543 40.862703658272146, -73.88541780285017 40.862680067517736, -73.88548905866426 40.862611109361744, -73.88551551268132 40.862585508555355, -73.885533577603 40.86259626752854, -73.88557660899389 40.862554624706476, -73.88572209541768 40.86264127360773, -73.88595571884666 40.86278041441339, -73.88591326257713 40.86282150324165, -73.88593345334674 40.86283352764169, -73.88590882904667 40.86285735818683, -73.88588863827587 40.86284533288211, -73.8858429229939 40.86288957558025, -73.88589079789635 40.86291808833895, -73.88592720057449 40.8629397694219)))",Loyola,2102028,1922.0,08/22/2017 12:00:00 AM,Constructed,392955,79.72,2100.0,93.0,0,0,2032730001,2032730001,Photogramm,{95170396-1AE3-42BB-B182-1726A789C1BF},Building
186728,"MULTIPOLYGON (((-73.98736359897858 40.75667824495439, -73.98725566576013 40.75663244778226, -73.98740840826748 40.75642429210736, -73.98743118428864 40.756393253281885, -73.98760488714225 40.75646695593644, -73.98764944464517 40.756485861424466, -73.98759302710162 40.7565627476938, -73.98747392665645 40.7567250562542, -73.98736359897858 40.75667824495439)))",New Victory Theatre,1024685,1903.0,08/22/2017 12:00:00 AM,Constructed,773147,69.33,2100.0,52.0,0,0,1010140025,1010140025,Photogramm,{6F2FA6FD-79F4-42BB-9C80-F5D464EE54C4},Building
186938,"MULTIPOLYGON (((-73.98286002484228 40.77536860958624, -73.98278388513697 40.775336538541204, -73.9828267966252 40.77527766377925, -73.98286356395913 40.77522721949343, -73.98278545590107 40.77519431969355, -73.98281085934242 40.775159465928986, -73.98287599005167 40.77507010614111, -73.98318882507304 40.77520177597748, -73.98315369325117 40.775249978354815, -73.98313433328246 40.77527654125094, -73.98311706832035 40.77530022824529, -73.98309373630958 40.77533224129474, -73.98308807808645 40.775340003697536, -73.98308644519982 40.77534224480892, -73.98301855944742 40.77543538551657, -73.98286002484228 40.77536860958624)))",Merkin Concert Hall,1081024,1978.0,08/22/2017 12:00:00 AM,Constructed,806355,95.64,2100.0,75.0,0,0,1011390008,1011390008,Photogramm,{13CAFF1A-7CA0-4225-ABDE-42FFB689CC69},Building
186939,"MULTIPOLYGON (((-73.97981646486161 40.75871873622393, -73.97981304701462 40.75871897696039, -73.97980717668887 40.75871881023866, -73.97980138469934 40.75871806630674, -73.97979576815136 40.758716758689275, -73.97978088390225 40.758710508375145, -73.9793307485831 40.75852148906173, -73.97917752355237 40.758457146508476, -73.97907291787661 40.75841321983525, -73.97905426596331 40.75840538745582, -73.97905970996838 40.75839789174224, -73.97913881318064 40.75828897111519, -73.97929938952352 40.75806786848994, -73.97940238126773 40.75792605381935, -73.97977342684965 40.75808186279659, -73.98037749416254 40.758335518843325, -73.98009539676993 40.75872395905734, -73.97986178140782 40.758625861580896, -73.97983909222214 40.75865710333009, -73.97984353941501 40.758660021744056, -73.97984745238251 40.75866335339612, -73.97985076482327 40.758667041542935, -73.97985342109554 40.75867102494051, -73.97985537621767 40.75867523694366, -73.97985659942047 40.75867960550664, -73.97985706704071 40.75868405768442, -73.97985677317959 40.7586885187341, -73.97985572141259 40.7586929130139, -73.97985393189434 40.758697166685906, -73.97985143069987 40.75870120861479, -73.97984826403588 40.7587049703702, -73.97984448284492 40.75870838802511, -73.97984015227836 40.758711404859106, -73.97983534340705 40.75871397045632, -73.97983013795833 40.75871604070617, -73.97982462476234 40.75871758050456, -73.97981889501466 40.75871856555375, -73.97981646486161 40.75871873622393)))",Rockefeller Plaza,1077284,1937.0,08/22/2017 12:00:00 AM,Constructed,94416,219.7,2100.0,63.0,0,0,1012640005,1012640005,Photogramm,{25618DD2-D00F-4635-96D1-B8425DC96B5C},Building
189048,"MULTIPOLYGON (((-73.79647061867298 40.71867963410039, -73.79649596871965 40.71864993318946, -73.79701599715776 40.71890688307368, -73.79667782545175 40.71930308627039, -73.79666735373247 40.719315355266154, -73.79648473211192 40.719225120948394, -73.79648666111521 40.71922286137095, -73.79671350235637 40.718957093219004, -73.79637954170161 40.7187920803188, -73.79637609566123 40.718790377658884, -73.79647061867298 40.71867963410039)))",DaSilva Hall,4542619,1950.0,08/10/2017 12:00:00 AM,Constructed,989486,70.0,2100.0,110.0,0,0,4070210001,4070210001,Other (Man,{AAE79D50-27A7-459E-B883-DA95FA7A882C},Building
190584,"MULTIPOLYGON (((-73.78944741258555 40.65438919442977, -73.78938835895835 40.65430881398643, -73.78933223365728 40.65433273166229, -73.78929187688767 40.654349928804216, -73.7892496072427 40.65433372305254, -73.78921798370355 40.65429067789566, -73.78919705755781 40.65426219482895, -73.78923608940161 40.65424556171919, -73.78931122617607 40.65421354362191, -73.7893193581143 40.654224612396945, -73.78934079919598 40.654215476274025, -73.78935522861795 40.65420932783768, -73.78939023834268 40.65419440820254, -73.78952644445158 40.65413637229391, -73.78952356818431 40.654132456973976, -73.78967784540555 40.65406671398718, -73.7896885463607 40.65406215441196, -73.78968896196466 40.65406272069824, -73.78976261967284 40.6541629778401, -73.78980315854442 40.65414570252065, -73.78982576617463 40.65417647586972, -73.7898191985436 40.65417927439028, -73.78985771821782 40.65423170549087, -73.78984138378273 40.6542386663802, -73.78970805365581 40.654295483212586, -73.7897221099751 40.65431504298431, -73.78967300143711 40.65433551385763, -73.78964925287106 40.6543024672818, -73.78964864666305 40.65430272552282, -73.78964488265733 40.654297600985586, -73.78955479798253 40.654335971232896, -73.78955897406355 40.654341654849226, -73.78953409107575 40.65435225796475, -73.78950885879634 40.654363010822436, -73.78944741258555 40.65438919442977)))",198,4542151,1994.0,01/01/2012 12:00:00 AM,Constructed,929223,16.946861,2100.0,8.0,0,0,4142600001,4142600001,Photogramm,{1E3C060A-D1D7-4414-8D08-4FF57ABBED1C},Building
193419,"MULTIPOLYGON (((-73.98906955030407 40.756727141284905, -73.98909025403374 40.75669862605199, -73.98914832127406 40.75661864777248, -73.98919173746945 40.756558850209856, -73.9892090582046 40.75653499475147, -73.98921705347935 40.75652398232248, -73.98924584230528 40.75653606889192, -73.98927376316617 40.75654779066878, -73.98947088739975 40.756630548165575, -73.98934151808045 40.756808730918955, -73.98932338476261 40.75683370744985, -73.98924479061864 40.75680071193595, -73.98906955030407 40.756727141284905)))",Eltinge Theatre,1024669,1999.0,08/22/2017 12:00:00 AM,Constructed,945909,198.020325,2100.0,44.0,0,0,1010130057,1010130057,Photogramm,{17CBF835-72C6-4322-B86E-D935F2B7145B},Building
200724,"MULTIPOLYGON (((-73.97975947326107 40.738984113560264, -73.9796474011318 40.73893675233372, -73.9795491269971 40.738895222433314, -73.97957757284107 40.73885627963507, -73.9795125078555 40.73882878369174, -73.9795903409028 40.738722226960476, -73.97961821103056 40.73868407199328, -73.97965258479299 40.738698597853485, -73.9797221053529 40.73872797656335, -73.97977634124862 40.73865372485416, -73.97979489124256 40.738628329297754, -73.97962641286253 40.738557132512156, -73.97973537835976 40.73840795295982, -73.97986502596095 40.73846274096209, -73.97989150416662 40.738426490257325, -73.98010067512654 40.73851488348179, -73.98020586216097 40.73855933444783, -73.98017558101455 40.73860079130366, -73.98011878969844 40.73867854303261, -73.97995271075858 40.73890591577943, -73.97992848867177 40.738939077248205, -73.9798935442034 40.738986918712804, -73.97986348651978 40.73902806935067, -73.97975947326107 40.738984113560264)))",New York Towers,1020599,1964.0,08/22/2017 12:00:00 AM,Constructed,405007,174.92,2100.0,26.0,0,0,1009300001,1009300001,Photogramm,{5A72FD28-7011-4F9E-9518-260BD6BD0909},Building
201469,"MULTIPOLYGON (((-73.98127502125791 40.75493364091275, -73.98111531163231 40.75486659292891, -73.98103485662728 40.754832816163166, -73.98108832006578 40.75475917351954, -73.9812081912285 40.75459405665916, -73.98151192692627 40.75472156784272, -73.98139021652982 40.754889216939986, -73.98133859189775 40.75496032779917, -73.98127502125791 40.75493364091275)))",Princeton Club of N.Y.,1034207,1962.0,08/22/2017 12:00:00 AM,Constructed,485394,156.1,2100.0,66.0,0,0,1012590025,1012590025,Photogramm,{5890C6D0-1ADE-45DB-8F09-1DC8FA33E329},Building
